entity,label,explanation
Philadelphia,GPE,"Countries, cities, states"
$500 million,MONEY,"Monetary values, including unit"
Carper,PERSON,"People, including fictional"
Hayman,PERSON,"People, including fictional"
Five hundred million,MONEY,"Monetary values, including unit"
$160 million,MONEY,"Monetary values, including unit"
Pennsylvania,GPE,"Countries, cities, states"
the Bipartisan Infrastructure Law,LAW,Named documents made into laws.
more than 19 miles,QUANTITY,"Measurements, as of weight or distance"
January,DATE,Absolute or relative dates or periods
Philadelphia,GPE,"Countries, cities, states"
$19.8,MONEY,"Monetary values, including unit"
EPA,ORG,"Companies, agencies, institutions, etc."
WIFIA,ORG,"Companies, agencies, institutions, etc."
15 miles,QUANTITY,"Measurements, as of weight or distance"
approximately 160,QUANTITY,"Measurements, as of weight or distance"
first,ORDINAL,"""first"", ""second"", etc."
$340 million,MONEY,"Monetary values, including unit"
WIFIA,ORG,"Companies, agencies, institutions, etc."
Philadelphia,GPE,"Countries, cities, states"
EPA,ORG,"Companies, agencies, institutions, etc."
WIFIA,ORG,"Companies, agencies, institutions, etc."
Congress,ORG,"Companies, agencies, institutions, etc."
WIFIA,ORG,"Companies, agencies, institutions, etc."
DWWIA,ORG,"Companies, agencies, institutions, etc."
years,DATE,Absolute or relative dates or periods
WIFIA,ORG,"Companies, agencies, institutions, etc."
Congress,ORG,"Companies, agencies, institutions, etc."
DWWIA,ORG,"Companies, agencies, institutions, etc."
Congress,ORG,"Companies, agencies, institutions, etc."
EPA,ORG,"Companies, agencies, institutions, etc."
One,CARDINAL,Numerals that do not fall under another type
EPA,ORG,"Companies, agencies, institutions, etc."
AMWA,ORG,"Companies, agencies, institutions, etc."
Ben,PERSON,"People, including fictional"
$5,MONEY,"Monetary values, including unit"
fiscal year 2023,DATE,Absolute or relative dates or periods
$5 million,MONEY,"Monetary values, including unit"
EPA,ORG,"Companies, agencies, institutions, etc."
AMWA,ORG,"Companies, agencies, institutions, etc."
EPA,ORG,"Companies, agencies, institutions, etc."
DWWIA,ORG,"Companies, agencies, institutions, etc."
First,ORDINAL,"""first"", ""second"", etc."
EPA,ORG,"Companies, agencies, institutions, etc."
Federal,ORG,"Companies, agencies, institutions, etc."
AMWA,ORG,"Companies, agencies, institutions, etc."
EPA,ORG,"Companies, agencies, institutions, etc."
"National Water Affordability 
Needs Assessment",LAW,Named documents made into laws.
EPA,ORG,"Companies, agencies, institutions, etc."
Philadelphia Water,ORG,"Companies, agencies, institutions, etc."
"the PENNVEST 
State Revolving Fund",ORG,"Companies, agencies, institutions, etc."
Bill,LAW,Named documents made into laws.
Philadelphia,GPE,"Countries, cities, states"
AMWA,ORG,"Companies, agencies, institutions, etc."
today,DATE,Absolute or relative dates or periods
AMWA,ORG,"Companies, agencies, institutions, etc."
the Committee,ORG,"Companies, agencies, institutions, etc."
"the 
Philadelphia Water department",ORG,"Companies, agencies, institutions, etc."
first,ORDINAL,"""first"", ""second"", etc."
Hayman,PERSON,"People, including fictional"
Carper,PERSON,"People, including fictional"
today,DATE,Absolute or relative dates or periods
Thomas Sigmund,PERSON,"People, including fictional"
N-E-W,ORG,"Companies, agencies, institutions, etc."
Sigmund,PERSON,"People, including fictional"
Northeast Wisconsin,GPE,"Countries, cities, states"
New,ORG,"Companies, agencies, institutions, etc."
Carper,PERSON,"People, including fictional"
Regional Clean Water Utility,ORG,"Companies, agencies, institutions, etc."
Green Bay,GPE,"Countries, cities, states"
Wisconsin,GPE,"Countries, cities, states"
One,CARDINAL,Numerals that do not fall under another type
Green Bay,GPE,"Countries, cities, states"
the Super Bowl,EVENT,"Named hurricanes, battles, wars, sports events, etc."
August,DATE,Absolute or relative dates or periods
Capito,PERSON,"People, including fictional"
Carper,PERSON,"People, including fictional"
Carper,PERSON,"People, including fictional"
Sigmund,PERSON,"People, including fictional"
THOMAS W. SIGMUND,PERSON,"People, including fictional"
"NATIONAL ASSOCIATION 
   OF CLEAN WATER AGENCIES",ORG,"Companies, agencies, institutions, etc."
NEW WATER,ORG,"Companies, agencies, institutions, etc."
Sigmund,PERSON,"People, including fictional"
Carper,PERSON,"People, including fictional"
Capito,PERSON,"People, including fictional"
Committee,ORG,"Companies, agencies, institutions, etc."
today,DATE,Absolute or relative dates or periods
Tom Sigmund,PERSON,"People, including fictional"
"the Board 
of Directors",ORG,"Companies, agencies, institutions, etc."
the National Association of Clean Water,ORG,"Companies, agencies, institutions, etc."
NEW Water,ORG,"Companies, agencies, institutions, etc."
the Green Bay Metropolitan Sewerage District,GPE,"Countries, cities, states"
Green,GPE,"Countries, cities, states"
Wisconsin,GPE,"Countries, cities, states"
2007,DATE,Absolute or relative dates or periods
NEW Water,ORG,"Companies, agencies, institutions, etc."
"238,000",CARDINAL,Numerals that do not fall under another type
15,CARDINAL,Numerals that do not fall under another type
Wisconsin,GPE,"Countries, cities, states"
101,CARDINAL,Numerals that do not fall under another type
annual,DATE,Absolute or relative dates or periods
$49 million,MONEY,"Monetary values, including unit"
"20 
year",DATE,Absolute or relative dates or periods
$470 million,MONEY,"Monetary values, including unit"
2021,DATE,Absolute or relative dates or periods
over 50 years,DATE,Absolute or relative dates or periods
NACWA,ORG,"Companies, agencies, institutions, etc."
350,CARDINAL,Numerals that do not fall under another type
NACWA,ORG,"Companies, agencies, institutions, etc."
"the 
Federal Government",ORG,"Companies, agencies, institutions, etc."
years,DATE,Absolute or relative dates or periods
"DWWIA and 
IIJA",LAW,Named documents made into laws.
"the Bipartisan 
Infrastructure Law",LAW,Named documents made into laws.
NACWA,ORG,"Companies, agencies, institutions, etc."
EPA,ORG,"Companies, agencies, institutions, etc."
Regan,PERSON,"People, including fictional"
Fox,PERSON,"People, including fictional"
Congress,ORG,"Companies, agencies, institutions, etc."
NACWA,ORG,"Companies, agencies, institutions, etc."
last July,DATE,Absolute or relative dates or periods
"the Clean Water 
State Revolving Fund",ORG,"Companies, agencies, institutions, etc."
CWSRF,ORG,"Companies, agencies, institutions, etc."
NACWA,ORG,"Companies, agencies, institutions, etc."
DWWIA,ORG,"Companies, agencies, institutions, etc."
CWSRF,ORG,"Companies, agencies, institutions, etc."
annual,DATE,Absolute or relative dates or periods
fiscal year 2022,DATE,Absolute or relative dates or periods
CWSRF,ORG,"Companies, agencies, institutions, etc."
States,GPE,"Countries, cities, states"
EPA,ORG,"Companies, agencies, institutions, etc."
fiscal year,DATE,Absolute or relative dates or periods
2023,DATE,Absolute or relative dates or periods
State,ORG,"Companies, agencies, institutions, etc."
CWSRF,ORG,"Companies, agencies, institutions, etc."
BIL,LAW,Named documents made into laws.
fiscal years 2022,DATE,Absolute or relative dates or periods
2023,DATE,Absolute or relative dates or periods
Congress,ORG,"Companies, agencies, institutions, etc."
BIL,LAW,Named documents made into laws.
"only 60 
percent",PERCENT,"Percentage, including ""%"""
fiscal year 2023,DATE,Absolute or relative dates or periods
Congress,ORG,"Companies, agencies, institutions, etc."
NACWA,ORG,"Companies, agencies, institutions, etc."
Biden,PERSON,"People, including fictional"
fiscal year 2024,DATE,Absolute or relative dates or periods
CWSRF,ORG,"Companies, agencies, institutions, etc."
last fiscal year,DATE,Absolute or relative dates or periods
Congress,ORG,"Companies, agencies, institutions, etc."
BIL,LAW,Named documents made into laws.
$3,MONEY,"Monetary values, including unit"
next year,DATE,Absolute or relative dates or periods
NACWA,ORG,"Companies, agencies, institutions, etc."
CWSRF,ORG,"Companies, agencies, institutions, etc."
each fiscal year,DATE,Absolute or relative dates or periods
BIL,ORG,"Companies, agencies, institutions, etc."
CWSRF,ORG,"Companies, agencies, institutions, etc."
approximately half,CARDINAL,Numerals that do not fall under another type
States,GPE,"Countries, cities, states"
fiscal year 2022,DATE,Absolute or relative dates or periods
One,CARDINAL,Numerals that do not fall under another type
CWSRF,LAW,Named documents made into laws.
this fiscal year,DATE,Absolute or relative dates or periods
States,GPE,"Countries, cities, states"
Wisconsin,GPE,"Countries, cities, states"
States,ORG,"Companies, agencies, institutions, etc."
NACWA,ORG,"Companies, agencies, institutions, etc."
EPA,ORG,"Companies, agencies, institutions, etc."
CWSRF,LAW,Named documents made into laws.
BIL,ORG,"Companies, agencies, institutions, etc."
EPA,ORG,"Companies, agencies, institutions, etc."
Congress,ORG,"Companies, agencies, institutions, etc."
several years,DATE,Absolute or relative dates or periods
NACWA,ORG,"Companies, agencies, institutions, etc."
Federal,ORG,"Companies, agencies, institutions, etc."
NACWA,ORG,"Companies, agencies, institutions, etc."
DWWIA and IIJA,LAW,Named documents made into laws.
Federal,ORG,"Companies, agencies, institutions, etc."
Federal,ORG,"Companies, agencies, institutions, etc."
the Federal Government,ORG,"Companies, agencies, institutions, etc."
today,DATE,Absolute or relative dates or periods
tomorrow,DATE,Absolute or relative dates or periods
the Bipartisan Infrastructure,ORG,"Companies, agencies, institutions, etc."
Sigmund,PERSON,"People, including fictional"
Capito,PERSON,"People, including fictional"
Sigmund,PERSON,"People, including fictional"
Kathy Emery,PERSON,"People, including fictional"
Kathy,PERSON,"People, including fictional"
the Division of Water and Waste Management,ORG,"Companies, agencies, institutions, etc."
"the West 
Virginia Department of Environmental Protection",ORG,"Companies, agencies, institutions, etc."
West Virginia,GPE,"Countries, cities, states"
KATHERYN D. EMERY,PERSON,"People, including fictional"
DIVISION OF WATER AND,ORG,"Companies, agencies, institutions, etc."
WEST VIRGINIA,GPE,"Countries, cities, states"
DEPARTMENT OF ENVIRONMENTAL,ORG,"Companies, agencies, institutions, etc."
Emery,PERSON,"People, including fictional"
morning,TIME,Times smaller than a day
Carper,PERSON,"People, including fictional"
Capito,PERSON,"People, including fictional"
Committee,ORG,"Companies, agencies, institutions, etc."
"the Drinking Water and Wastewater 
Infrastructure Act",LAW,Named documents made into laws.
"the Infrastructure 
Investment and Jobs Act",LAW,Named documents made into laws.
Katheryn Emery,PERSON,"People, including fictional"
the,ORG,"Companies, agencies, institutions, etc."
Department of Environmental Protection,ORG,"Companies, agencies, institutions, etc."
Water and Waste Management,ORG,"Companies, agencies, institutions, etc."
West Virginia's,GPE,"Countries, cities, states"
the past 28 years,DATE,Absolute or relative dates or periods
West Virginia,GPE,"Countries, cities, states"
today,DATE,Absolute or relative dates or periods
"the 
Infrastructure Investment and Jobs Act",LAW,Named documents made into laws.
only 50,CARDINAL,Numerals that do not fall under another type
West Virginia's,GPE,"Countries, cities, states"
671,CARDINAL,Numerals that do not fall under another type
"greater than 10,000",CARDINAL,Numerals that do not fall under another type
West,GPE,"Countries, cities, states"
100 percent,PERCENT,"Percentage, including ""%"""
101,CARDINAL,Numerals that do not fall under another type
175,CARDINAL,Numerals that do not fall under another type
the Clean Water SRF,LAW,Named documents made into laws.
29,CARDINAL,Numerals that do not fall under another type
157,CARDINAL,Numerals that do not fall under another type
the Drinking Water SRF,LAW,Named documents made into laws.
West Virginia,GPE,"Countries, cities, states"
State,ORG,"Companies, agencies, institutions, etc."
Federal,ORG,"Companies, agencies, institutions, etc."
SRF,LAW,Named documents made into laws.
State,ORG,"Companies, agencies, institutions, etc."
States,GPE,"Countries, cities, states"
one,CARDINAL,Numerals that do not fall under another type
hundreds,CARDINAL,Numerals that do not fall under another type
today,DATE,Absolute or relative dates or periods
Emery,PERSON,"People, including fictional"
Capito,PERSON,"People, including fictional"
Emery,PERSON,"People, including fictional"
three,CARDINAL,Numerals that do not fall under another type
Carper,PERSON,"People, including fictional"
Emery,PERSON,"People, including fictional"
Fox,PERSON,"People, including fictional"
January,DATE,Absolute or relative dates or periods
EPA,ORG,"Companies, agencies, institutions, etc."
EPA,ORG,"Companies, agencies, institutions, etc."
EPA,ORG,"Companies, agencies, institutions, etc."
Emery,PERSON,"People, including fictional"
"this 
past year",DATE,Absolute or relative dates or periods
EPA Region III,ORG,"Companies, agencies, institutions, etc."
West Virginia,GPE,"Countries, cities, states"
EPA,ORG,"Companies, agencies, institutions, etc."
coming months,DATE,Absolute or relative dates or periods
Capito,PERSON,"People, including fictional"
Emery,PERSON,"People, including fictional"
Capito,PERSON,"People, including fictional"
Congress,ORG,"Companies, agencies, institutions, etc."
West Virginia,GPE,"Countries, cities, states"
EPA,ORG,"Companies, agencies, institutions, etc."
Emery,PERSON,"People, including fictional"
Capito,PERSON,"People, including fictional"
Emery,PERSON,"People, including fictional"
Region III,FAC,"Buildings, airports, highways, bridges, etc."
Capito,PERSON,"People, including fictional"
Sigmund,PERSON,"People, including fictional"
Sigmund,PERSON,"People, including fictional"
the State of Wisconsin Clean Water Fund,ORG,"Companies, agencies, institutions, etc."
the last year,DATE,Absolute or relative dates or periods
EPA,ORG,"Companies, agencies, institutions, etc."
Clean Water Fund,ORG,"Companies, agencies, institutions, etc."
Capito,PERSON,"People, including fictional"
Emery,PERSON,"People, including fictional"
Lummis,PERSON,"People, including fictional"
Emery,PERSON,"People, including fictional"
Capito,PERSON,"People, including fictional"
Emery,PERSON,"People, including fictional"
Capito,PERSON,"People, including fictional"
Emery,PERSON,"People, including fictional"
West Virginia,GPE,"Countries, cities, states"
Capito,PERSON,"People, including fictional"
Emery,PERSON,"People, including fictional"
Iaeger,GPE,"Countries, cities, states"
McDowell County,GPE,"Countries, cities, states"
Iaeger,GPE,"Countries, cities, states"
over $100,MONEY,"Monetary values, including unit"
over 3 percent,PERCENT,"Percentage, including ""%"""
Capito,PERSON,"People, including fictional"
Ricketts,PERSON,"People, including fictional"
Ricketts,PERSON,"People, including fictional"
Kelly,PERSON,"People, including fictional"
Republican,NORP,Nationalities or religious or political groups
first,ORDINAL,"""first"", ""second"", etc."
Kelly,PERSON,"People, including fictional"
Ricketts,PERSON,"People, including fictional"
Kelly,PERSON,"People, including fictional"
Good morning,TIME,Times smaller than a day
Hayman,PERSON,"People, including fictional"
Sigmund,PERSON,"People, including fictional"
Congress,ORG,"Companies, agencies, institutions, etc."
Risch,PERSON,"People, including fictional"
"the Water Infrastructure 
Modernization Act",LAW,Named documents made into laws.
EPA,ORG,"Companies, agencies, institutions, etc."
Congress,ORG,"Companies, agencies, institutions, etc."
the Water Infrastructure Modernization Act,LAW,Named documents made into laws.
Hayman,PERSON,"People, including fictional"
Kelly,PERSON,"People, including fictional"
Hayman,PERSON,"People, including fictional"
Philadelphia,GPE,"Countries, cities, states"
$100,MONEY,"Monetary values, including unit"
decades,DATE,Absolute or relative dates or periods
Kelly,PERSON,"People, including fictional"
Sigmund,PERSON,"People, including fictional"
Sigmund,PERSON,"People, including fictional"
Kelly,PERSON,"People, including fictional"
Ricketts,PERSON,"People, including fictional"
Carper,PERSON,"People, including fictional"
Ricketts,PERSON,"People, including fictional"
second,ORDINAL,"""first"", ""second"", etc."
Ricketts,PERSON,"People, including fictional"
first,ORDINAL,"""first"", ""second"", etc."
Fox,PERSON,"People, including fictional"
Hayman,PERSON,"People, including fictional"
Hayman,PERSON,"People, including fictional"
One,CARDINAL,Numerals that do not fall under another type
Philadelphia,GPE,"Countries, cities, states"
over a year,DATE,Absolute or relative dates or periods
"the 
1950s",DATE,Absolute or relative dates or periods
1960s,DATE,Absolute or relative dates or periods
Ricketts,PERSON,"People, including fictional"
Hayman,PERSON,"People, including fictional"
yesterday,DATE,Absolute or relative dates or periods
"four 
parts per trillion",QUANTITY,"Measurements, as of weight or distance"
Philadelphia,GPE,"Countries, cities, states"
trillion,CARDINAL,Numerals that do not fall under another type
Ricketts,PERSON,"People, including fictional"
Sigmund,PERSON,"People, including fictional"
Sigmund,PERSON,"People, including fictional"
"$100,000 to $200,000",MONEY,"Monetary values, including unit"
first,ORDINAL,"""first"", ""second"", etc."
One,CARDINAL,Numerals that do not fall under another type
CERCLA,ORG,"Companies, agencies, institutions, etc."
EPA,ORG,"Companies, agencies, institutions, etc."
"about 
two decades",DATE,Absolute or relative dates or periods
EPA,ORG,"Companies, agencies, institutions, etc."
Congress,ORG,"Companies, agencies, institutions, etc."
Ricketts,PERSON,"People, including fictional"
Sigmund,PERSON,"People, including fictional"
Emery,PERSON,"People, including fictional"
Emery,PERSON,"People, including fictional"
Sigmund,PERSON,"People, including fictional"
West Virginia,GPE,"Countries, cities, states"
"the last 
couple years",DATE,Absolute or relative dates or periods
one,CARDINAL,Numerals that do not fall under another type
Ricketts,PERSON,"People, including fictional"
Carper,PERSON,"People, including fictional"
Ricketts,PERSON,"People, including fictional"
two,CARDINAL,Numerals that do not fall under another type
three,CARDINAL,Numerals that do not fall under another type
three,CARDINAL,Numerals that do not fall under another type
Hayman,PERSON,"People, including fictional"
"The Bipartisan 
Infrastructure Law",LAW,Named documents made into laws.
Democrats,NORP,Nationalities or religious or political groups
Republicans,NORP,Nationalities or religious or political groups
The Bipartisan Infrastructure Law,LAW,Named documents made into laws.
more,MONEY,"Monetary values, including unit"
5 years,DATE,Absolute or relative dates or periods
some 49 percent,PERCENT,"Percentage, including ""%"""
State,ORG,"Companies, agencies, institutions, etc."
SRF,ORG,"Companies, agencies, institutions, etc."
State,ORG,"Companies, agencies, institutions, etc."
Philadelphia,GPE,"Countries, cities, states"
Philadelphia,GPE,"Countries, cities, states"
"the Bipartisan Infrastructure 
Law",LAW,Named documents made into laws.
Hayman,PERSON,"People, including fictional"
the PENNVEST State Revolving Fund,ORG,"Companies, agencies, institutions, etc."
one,CARDINAL,Numerals that do not fall under another type
Philadelphia,GPE,"Countries, cities, states"
second,ORDINAL,"""first"", ""second"", etc."
One,CARDINAL,Numerals that do not fall under another type
400,CARDINAL,Numerals that do not fall under another type
Carper,PERSON,"People, including fictional"
second,ORDINAL,"""first"", ""second"", etc."
Sigmund,PERSON,"People, including fictional"
the National Association of Clean Water Agencies,ORG,"Companies, agencies, institutions, etc."
"the 
Association of Metropolitan Water Agencies",ORG,"Companies, agencies, institutions, etc."
"an 
additional $448 billion to $944 billion",MONEY,"Monetary values, including unit"
between now and 2050,DATE,Absolute or relative dates or periods
The Drinking Water and Wastewater Infrastructure Act,LAW,Named documents made into laws.
last year,DATE,Absolute or relative dates or periods
Congress,ORG,"Companies, agencies, institutions, etc."
"the Drinking Water and Wastewater Infrastructure 
Act",LAW,Named documents made into laws.
Sigmund,PERSON,"People, including fictional"
Congress,ORG,"Companies, agencies, institutions, etc."
NACWA,ORG,"Companies, agencies, institutions, etc."
three,CARDINAL,Numerals that do not fall under another type
the last 5 years,DATE,Absolute or relative dates or periods
the year,DATE,Absolute or relative dates or periods
Carper,PERSON,"People, including fictional"
one,CARDINAL,Numerals that do not fall under another type
Emery,PERSON,"People, including fictional"
Markey,PERSON,"People, including fictional"
Markey,PERSON,"People, including fictional"
afternoon,TIME,Times smaller than a day
Markey,PERSON,"People, including fictional"
Carper,PERSON,"People, including fictional"
Markey,PERSON,"People, including fictional"
Carper,PERSON,"People, including fictional"
Markey,PERSON,"People, including fictional"
2021,DATE,Absolute or relative dates or periods
Florida,GPE,"Countries, cities, states"
"over 11,000 percent",PERCENT,"Percentage, including ""%"""
"the Water Information Sharing and 
Analysis Center",ORG,"Companies, agencies, institutions, etc."
Water ISAC,ORG,"Companies, agencies, institutions, etc."
Hayman,PERSON,"People, including fictional"
Committee,ORG,"Companies, agencies, institutions, etc."
Water ISAC,ORG,"Companies, agencies, institutions, etc."
Hayman,PERSON,"People, including fictional"
the Water ISAC,ORG,"Companies, agencies, institutions, etc."
East Palestine,GPE,"Countries, cities, states"
Ohio,GPE,"Countries, cities, states"
Water ISAC,ORG,"Companies, agencies, institutions, etc."
Markey,PERSON,"People, including fictional"
Last week,DATE,Absolute or relative dates or periods
"the Water System Threat 
Preparedness and Resilience Act",LAW,Named documents made into laws.
Water ISAC,ORG,"Companies, agencies, institutions, etc."
Hayman,PERSON,"People, including fictional"
Congress,ORG,"Companies, agencies, institutions, etc."
Hayman,PERSON,"People, including fictional"
Markey,PERSON,"People, including fictional"
Hayman,PERSON,"People, including fictional"
Markey,PERSON,"People, including fictional"
East,LOC,"Non-GPE locations, mountain ranges, bodies of water"
Palestine,GPE,"Countries, cities, states"
Hayman,PERSON,"People, including fictional"
Markey,PERSON,"People, including fictional"
Samuel Taylor Coleridge,PERSON,"People, including fictional"
Coleridge,PERSON,"People, including fictional"
Americans,NORP,Nationalities or religious or political groups
40 percent,PERCENT,"Percentage, including ""%"""
2019,DATE,Absolute or relative dates or periods
the CLEAR Act,LAW,Named documents made into laws.
the Bipartisan Infrastructure Law,LAW,Named documents made into laws.
Administration,ORG,"Companies, agencies, institutions, etc."
More than $10,MONEY,"Monetary values, including unit"
EPA,ORG,"Companies, agencies, institutions, etc."
Fall,GPE,"Countries, cities, states"
Massachusetts,GPE,"Countries, cities, states"
decades,DATE,Absolute or relative dates or periods
Hayman,PERSON,"People, including fictional"
Hayman,PERSON,"People, including fictional"
the last 15 years,DATE,Absolute or relative dates or periods
about 700,CARDINAL,Numerals that do not fall under another type
the last 5 years,DATE,Absolute or relative dates or periods
"about 4,000",CARDINAL,Numerals that do not fall under another type
one,CARDINAL,Numerals that do not fall under another type
Markey,PERSON,"People, including fictional"
only $30 million,MONEY,"Monetary values, including unit"
last,DATE,Absolute or relative dates or periods
$60,MONEY,"Monetary values, including unit"
the Bipartisan Law,LAW,Named documents made into laws.
Hayman,PERSON,"People, including fictional"
Carper,PERSON,"People, including fictional"
Markey,PERSON,"People, including fictional"
today,DATE,Absolute or relative dates or periods
Philadelphia,GPE,"Countries, cities, states"
West Virginia,GPE,"Countries, cities, states"
one,CARDINAL,Numerals that do not fall under another type
"Aaron 
Rodgers",PERSON,"People, including fictional"
the Green Bay Packers,ORG,"Companies, agencies, institutions, etc."
Committee,ORG,"Companies, agencies, institutions, etc."
the Federal Government,ORG,"Companies, agencies, institutions, etc."
"Bipartisan Water 
and Wastewater legislation",LAW,Named documents made into laws.
Federal,ORG,"Companies, agencies, institutions, etc."
"4 p.m. on Wednesday,",TIME,Times smaller than a day
"about 2 weeks 
from today",DATE,Absolute or relative dates or periods
"Wednesday, April 12th",DATE,Absolute or relative dates or periods
first,ORDINAL,"""first"", ""second"", etc."
today,DATE,Absolute or relative dates or periods
Carper,PERSON,"People, including fictional"
"a 
number of years ago",DATE,Absolute or relative dates or periods
West Virginia,GPE,"Countries, cities, states"
Beckley,GPE,"Countries, cities, states"
Raleigh County,GPE,"Countries, cities, states"
Beaver,GPE,"Countries, cities, states"
Beckley,GPE,"Countries, cities, states"
every Sunday morning,TIME,Times smaller than a day
every Sunday night,TIME,Times smaller than a day
"every 
Wednesday night",TIME,Times smaller than a day
Thursday,DATE,Absolute or relative dates or periods
Thursday,DATE,Absolute or relative dates or periods
nights,TIME,Times smaller than a day
Beaver,GPE,"Countries, cities, states"
Billy Graham,PERSON,"People, including fictional"
Sheila,PERSON,"People, including fictional"
the Golden Rule,LAW,Named documents made into laws.
Matthew 25,LAW,Named documents made into laws.
today,DATE,Absolute or relative dates or periods
Philadelphia,GPE,"Countries, cities, states"
West Virginia,GPE,"Countries, cities, states"
Packers,ORG,"Companies, agencies, institutions, etc."
Eagles,ORG,"Companies, agencies, institutions, etc."
the years,DATE,Absolute or relative dates or periods
Green,GPE,"Countries, cities, states"
12:27 p.m.,TIME,Times smaller than a day
